rssd9999,rssd9001
19860930,315254
19860930,571751
19860930,1020180
19860930,1020199
19860930,1020201
19860930,1020210
19860930,1020229
19860930,1020238
19860930,1020247
19860930,1020256
19860930,1020265
19860930,1020274
19860930,1020283
19860930,1020292
19860930,1020313
19860930,1020322
19860930,1020331
19860930,1020340
19860930,1020368
19860930,1020407
19860930,1020416
19860930,1020425
19860930,1020434
19860930,1020452
19860930,1020461
19860930,1020489
19860930,1020498
19860930,1020528
19860930,1020564
19860930,1020573
19860930,1020582
19860930,1020591
19860930,1020603
19860930,1020612
19860930,1020658
19860930,1020667
19860930,1020676
19860930,1020694
19860930,1020724
19860930,1020742
19860930,1020760
19860930,1020779
19860930,1020788
19860930,1020809
19860930,1020818
19860930,1020827
19860930,1020836
19860930,1020902
19860930,1020911
19860930,1020948
19860930,1021011
19860930,1021020
19860930,1021048
19860930,1021066
19860930,1021075
19860930,1021084
19860930,1021114
19860930,1021123
19860930,1021141
19860930,1021169
19860930,1021178
19860930,1021226
19860930,1021235
19860930,1021253
19860930,1021271
19860930,1021280
19860930,1021356
19860930,1021374
19860930,1021422
19860930,1021486
19860930,1021495
19860930,1021534
19860930,1021570
19860930,1021589
19860930,1021598
19860930,1021600
19860930,1021619
19860930,1021628
19860930,1021664
19860930,1021703
19860930,1021712
19860930,1021721
19860930,1021730
19860930,1021749
19860930,1021758
19860930,1021776
19860930,1021806
19860930,1021815
19860930,1021833
19860930,1021879
19860930,1021936
19860930,1021945
19860930,1021972
19860930,1021990
19860930,1022027
19860930,1022036
19860930,1022045
19860930,1022054
19860930,1022081
19860930,1022139
19860930,1022148
19860930,1022157
19860930,1022184
19860930,1022193
19860930,1022205
19860930,1022250
19860930,1022296
19860930,1022317
19860930,1022326
19860930,1022353
19860930,1022362
19860930,1022401
19860930,1022474
19860930,1022492
19860930,1022504
19860930,1022513
19860930,1022522
19860930,1022531
19860930,1022540
19860930,1022568
19860930,1022643
19860930,1022652
19860930,1022661
19860930,1022670
19860930,1022689
19860930,1022698
19860930,1022700
19860930,1022719
19860930,1022728
19860930,1022764
19860930,1022773
19860930,1022782
19860930,1022791
19860930,1022830
19860930,1022858
19860930,1022867
19860930,1022894
19860930,1022915
19860930,1022924
19860930,1022942
19860930,1022979
19860930,1022988
19860930,1023042
19860930,1023051
19860930,1023060
19860930,1023097
19860930,1023154
19860930,1023163
19860930,1023172
19860930,1023190
19860930,1023211
19860930,1023220
19860930,1023239
19860930,1023248
19860930,1023257
19860930,1023266
19860930,1023275
19860930,1023305
19860930,1023314
19860930,1023323
19860930,1023350
19860930,1023378
19860930,1023387
19860930,1023408
19860930,1023426
19860930,1023453
19860930,1023471
19860930,1023480
19860930,1023529
